time_s,state,state_name,fault,fault_name,currentStep,direction,throttle,dutyPct,vbusRaw,vbus_V,ibusRaw,ibus_A,ibusMax,ibusMax_A,bemfRaw,zcThreshold,stepPeriod,eRPM,goodZcCount,risingZcWorks,fallingZcWorks,zcSynced,zcConfirmedCount,zcTimeoutForceCount,hwzcEnabled,hwzcPhase,hwzcTotalZcCount,hwzcTotalMissCount,hwzcStepPeriodHR,hwzcNoiseReject,clpciTripCount,fpciTripCount,systemTick,uptimeSec,iaRaw,ibRaw,iaMax,iaMin,ibMax,ibMin,ia_A,ib_A,iaPkPos_A,iaPkNeg_A,ibPkPos_A,ibPkNeg_A,iaPkMag_A,ibPkMag_A,iaAtFault_A,ibAtFault_A,iaPkAtFault_A,ibPkAtFault_A,iaPkPosAtFault_A,iaPkNegAtFault_A,ibusPkPos_A,ibusPkNeg_A,ibusPkMag_A,ibusAtFault_A,ibusPkPosAtFault_A,ibusPkNegAtFault_A,ibusPkAtFault_A
0.042,0,IDLE,0,NONE,5,0,42,15,653,12.21,1991,-0.61,2024,-0.26,46,50,120,2000,0,0,0,1,0,0,0,0,102154,0,51758,51611,0,0,1624801,1624,2078,2151,3192,979,2151,2151,+0.3,+1.1,+12.3,-11.5,+1.1,+1.1,12.3,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.3,-13.0,13.0,+0.0,+0.0,+0.0,0.0
0.066,0,IDLE,0,NONE,5,0,42,15,651,12.17,1994,-0.58,2024,-0.26,48,50,120,2000,0,0,0,1,0,0,0,0,102154,0,51758,51611,0,0,1624821,1624,2080,2151,2094,2075,2151,2151,+0.3,+1.1,+0.5,+0.3,+1.1,+1.1,0.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.5,-0.7,0.7,+0.0,+0.0,+0.0,0.0
0.089,0,IDLE,0,NONE,5,0,43,15,653,12.21,1989,-0.64,2024,-0.26,46,50,120,2000,0,0,0,1,0,0,0,0,102154,0,51758,51611,0,0,1624841,1624,2079,2151,2094,2073,2151,2151,+0.3,+1.1,+0.5,+0.3,+1.1,+1.1,0.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.5,-0.7,0.7,+0.0,+0.0,+0.0,0.0
0.113,0,IDLE,0,NONE,5,0,42,15,653,12.21,1990,-0.62,2024,-0.26,47,50,120,2000,0,0,0,1,0,0,0,0,102154,0,51758,51611,0,0,1624861,1624,2082,2151,2093,2072,2151,2151,+0.4,+1.1,+0.5,+0.3,+1.1,+1.1,0.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.5,-0.7,0.7,+0.0,+0.0,+0.0,0.0
0.136,0,IDLE,0,NONE,5,0,41,15,654,12.23,1993,-0.59,2024,-0.26,47,50,120,2000,0,0,0,1,0,0,0,0,102154,0,51758,51611,0,0,1624881,1624,2080,2151,2093,2073,2151,2151,+0.3,+1.1,+0.5,+0.3,+1.1,+1.1,0.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.5,-0.7,0.7,+0.0,+0.0,+0.0,0.0
0.161,0,IDLE,0,NONE,5,0,42,15,654,12.23,1994,-0.58,2024,-0.26,49,50,120,2000,0,0,0,1,0,0,0,0,102154,0,51758,51611,0,0,1624921,1624,2087,2151,2094,2074,2151,2151,+0.4,+1.1,+0.5,+0.3,+1.1,+1.1,0.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.5,-0.7,0.7,+0.0,+0.0,+0.0,0.0
0.184,0,IDLE,0,NONE,5,0,42,15,653,12.21,1988,-0.65,2024,-0.26,46,50,120,2000,0,0,0,1,0,0,0,0,102154,0,51758,51611,0,0,1624941,1624,2082,2151,2096,2074,2151,2151,+0.4,+1.1,+0.5,+0.3,+1.1,+1.1,0.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.5,-0.7,0.7,+0.0,+0.0,+0.0,0.0
0.208,0,IDLE,0,NONE,5,0,42,15,655,12.25,1990,-0.62,2024,-0.26,47,50,120,2000,0,0,0,1,0,0,0,0,102154,0,51758,51611,0,0,1624961,1624,2083,2151,2094,2076,2151,2151,+0.4,+1.1,+0.5,+0.3,+1.1,+1.1,0.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.5,-0.7,0.7,+0.0,+0.0,+0.0,0.0
0.231,0,IDLE,0,NONE,5,0,41,15,652,12.19,1991,-0.61,2024,-0.26,48,50,120,2000,0,0,0,1,0,0,0,0,102154,0,51758,51611,0,0,1624981,1624,2087,2151,2093,2074,2151,2151,+0.4,+1.1,+0.5,+0.3,+1.1,+1.1,0.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.5,-0.7,0.7,+0.0,+0.0,+0.0,0.0
0.255,0,IDLE,0,NONE,5,0,42,15,652,12.19,1995,-0.57,2024,-0.26,46,50,120,2000,0,0,0,1,0,0,0,0,102154,0,51758,51611,0,0,1625001,1625,2080,2151,2093,2072,2151,2151,+0.3,+1.1,+0.5,+0.3,+1.1,+1.1,0.5,1.1,+0.0,+0.0,0.0,0.0,+0.0,+0.0,-0.5,-0.7,0.7,+0.0,+0.0,+0.0,0.0
