timestamp_ms,elapsed_s,raw_line,state,pot,vbus,duty,step,tp,zc_count,synced,missed,bemf_a,bemf_b,bemf_c,dc1,io1,io2,io3,ic_accepted,ic_lcout_accepted,ic_false,ic_captures,ic_chatter,tp_hr,zc_interval,zc_interval_hr,prev_zc_interval,ic_phase,ic_filter_level,forced_steps,erpm,duty_pct_x10,ia_raw,ib_raw,ibus_raw,ia_mA,ib_mA,ibus_mA,fault_code,d_ic_accepted,d_ic_lcout_accepted,d_ic_false,d_ic_captures,d_ic_chatter,ic_accept_rate,ic_false_rate
1773758101699,25.327,S:CL P:2848 V:14256 D:1114 St:4 Tp:17 ZC:25977 SYN Miss:0 B:101 DC1:1114 IO:3400/3000/3000 FP:25677/BK:0/0 Cyc:51913 TpHR:1429 ZcI:25 ZcIHR:1328 PZcI:17 Ph:2 FL:4 Frc:1 eRPM:10709 D%:111 Ia:-640 Ib:288 Ibus:384,CL,2848,14256,1114,4,17,25977,1,0,1,0,1,1114,13312,12288,12288,25677,0,0,51913,,1429,25,1328,17,,4,1,10709,111,-640,288,384,-671,302,403,,106,0,0,6352,0,1.7,0.0
1773758101798,25.426,S:CL P:2848 V:14224 D:1114 St:2 Tp:17 ZC:26084 SYN Miss:0 B:100 DC1:1114 IO:0000/3400/0000 FP:25783/BK:0/0 Cyc:58270 TpHR:1451 ZcI:13 ZcIHR:1937 PZcI:25 Ph:1 FL:4 Frc:1 eRPM:10382 D%:111 Ia:-912 Ib:1024 Ibus:288,CL,2848,14224,1114,2,17,26084,1,0,1,0,0,1114,0,13312,0,25783,0,0,58270,,1451,13,1937,25,,4,1,10382,111,-912,1024,288,-957,1074,302,,106,0,0,6357,0,1.7,0.0
1773758101898,25.526,S:CL P:2848 V:14256 D:1114 St:1 Tp:17 ZC:26190 SYN Miss:0 B:011 DC1:1117 IO:0000/3400/3000 FP:25890/BK:0/0 Cyc:64635 TpHR:1472 ZcI:14 ZcIHR:1703 PZcI:22 Ph:2 FL:5 Frc:0 eRPM:10557 D%:111 Ia:-144 Ib:-544 Ibus:784,CL,2848,14256,1114,1,17,26190,1,0,0,1,1,1117,0,13312,12288,25890,0,0,64635,,1472,14,1703,22,,5,0,10557,111,-144,-544,784,-151,-571,822,,107,0,0,6365,0,1.7,0.0
1773758101997,25.625,S:CL P:2832 V:14256 D:1114 St:5 Tp:17 ZC:26297 SYN Miss:0 B:001 DC1:1117 IO:3000/0000/3400 FP:25997/BK:0/0 Cyc:5406 TpHR:1504 ZcI:20 ZcIHR:1109 PZcI:14 Ph:1 FL:4 Frc:1 eRPM:10813 D%:111 Ia:512 Ib:-240 Ibus:1168,CL,2832,14256,1114,5,17,26297,1,0,0,0,1,1117,12288,0,13312,25997,0,0,5406,,1504,20,1109,14,,4,1,10813,111,512,-240,1168,537,-252,1225,,107,0,0,-59229,0,,
1773758102097,25.725,S:CL P:2832 V:14240 D:1114 St:4 Tp:17 ZC:26403 SYN Miss:0 B:100 DC1:1114 IO:3400/3000/3000 FP:26103/BK:0/0 Cyc:11760 TpHR:1448 ZcI:24 ZcIHR:1328 PZcI:17 Ph:2 FL:4 Frc:0 eRPM:10850 D%:111 Ia:-960 Ib:368 Ibus:336,CL,2832,14240,1114,4,17,26403,1,0,1,0,0,1114,13312,12288,12288,26103,0,0,11760,,1448,24,1328,17,,4,0,10850,111,-960,368,336,-1007,386,352,,106,0,0,6354,0,1.7,0.0
1773758102197,25.825,S:CL P:2848 V:14240 D:1114 St:2 Tp:17 ZC:26509 SYN Miss:0 B:111 DC1:1114 IO:0000/3400/0000 FP:26209/BK:0/0 Cyc:18125 TpHR:1448 ZcI:15 ZcIHR:1188 PZcI:15 Ph:2 FL:4 Frc:0 eRPM:10286 D%:111 Ia:-128 Ib:-128 Ibus:848,CL,2848,14240,1114,2,17,26509,1,0,1,1,1,1114,0,13312,0,26209,0,0,18125,,1448,15,1188,15,,4,0,10286,111,-128,-128,848,-134,-134,890,,106,0,0,6365,0,1.7,0.0
1773758102296,25.924,S:CL P:2832 V:14240 D:1114 St:0 Tp:17 ZC:26615 SYN Miss:0 B:101 DC1:1114 IO:3000/3000/3400 FP:26315/BK:0/0 Cyc:24468 TpHR:1502 ZcI:12 ZcIHR:953 PZcI:12 Ph:0 FL:4 Frc:0 eRPM:10680 D%:111 Ia:816 Ib:-816 Ibus:800,CL,2832,14240,1114,0,17,26615,1,0,1,0,1,1114,12288,12288,13312,26315,0,0,24468,,1502,12,953,12,,4,0,10680,111,816,-816,800,856,-856,839,,106,0,0,6343,0,1.7,0.0
1773758102396,26.024,S:CL P:2832 V:14256 D:1114 St:4 Tp:17 ZC:26722 SYN Miss:0 B:011 DC1:1114 IO:3400/0000/3400 FP:26421/BK:0/0 Cyc:30847 TpHR:1454 ZcI:18 ZcIHR:1781 PZcI:23 Ph:1 FL:4 Frc:1 eRPM:10865 D%:111 Ia:-160 Ib:-144 Ibus:752,CL,2832,14256,1114,4,17,26722,1,0,0,1,1,1114,13312,0,13312,26421,0,0,30847,,1454,18,1781,23,,4,1,10865,111,-160,-144,752,-168,-151,789,,106,0,0,6379,0,1.7,0.0
1773758102495,26.123,S:CL P:2848 V:14240 D:1114 St:2 Tp:17 ZC:26828 SYN Miss:0 B:010 DC1:1117 IO:3000/3400/0000 FP:26528/BK:0/0 Cyc:37207 TpHR:1453 ZcI:16 ZcIHR:1703 PZcI:22 Ph:1 FL:5 Frc:0 eRPM:10550 D%:111 Ia:-960 Ib:448 Ibus:464,CL,2848,14240,1114,2,17,26828,1,0,0,1,0,1117,12288,13312,0,26528,0,0,37207,,1453,16,1703,22,,5,0,10550,111,-960,448,464,-1007,470,487,,107,0,0,6360,0,1.7,0.0
1773758102595,26.223,S:CL P:2848 V:14240 D:1114 St:1 Tp:18 ZC:26934 SYN Miss:0 B:011 DC1:1117 IO:0000/3400/3000 FP:26634/BK:0/0 Cyc:43558 TpHR:1472 ZcI:22 ZcIHR:1141 PZcI:22 Ph:0 FL:5 Frc:1 eRPM:10507 D%:111 Ia:-144 Ib:-1056 Ibus:1280,CL,2848,14240,1114,1,18,26934,1,0,0,1,1,1117,0,13312,12288,26634,0,0,43558,,1472,22,1141,22,,5,1,10507,111,-144,-1056,1280,-151,-1108,1343,,106,0,0,6351,0,1.7,0.0
1773758102694,26.322,S:CL P:2848 V:14256 D:1114 St:0 Tp:18 ZC:27041 SYN Miss:0 B:010 DC1:1114 IO:3000/0000/3400 FP:26741/BK:0/0 Cyc:49905 TpHR:1484 ZcI:22 ZcIHR:1110 PZcI:14 Ph:2 FL:4 Frc:1 eRPM:10903 D%:111 Ia:304 Ib:-736 Ibus:976,CL,2848,14256,1114,0,18,27041,1,0,0,1,0,1114,12288,0,13312,26741,0,0,49905,,1484,22,1110,14,,4,1,10903,111,304,-736,976,319,-772,1024,,107,0,0,6347,0,1.7,0.0
1773758102794,26.422,S:CL P:2848 V:14256 D:1114 St:4 Tp:17 ZC:27148 SYN Miss:0 B:101 DC1:1117 IO:3400/0000/3000 FP:26847/BK:0/0 Cyc:56231 TpHR:1459 ZcI:16 ZcIHR:1265 PZcI:23 Ph:1 FL:4 Frc:1 eRPM:10798 D%:111 Ia:-144 Ib:-128 Ibus:512,CL,2848,14256,1114,4,17,27148,1,0,1,0,1,1117,13312,0,12288,26847,0,0,56231,,1459,16,1265,23,,4,1,10798,111,-144,-128,512,-151,-134,537,,106,0,0,6326,0,1.7,0.0
1773758102893,26.521,S:CL P:2848 V:14240 D:1114 St:3 Tp:17 ZC:27254 SYN Miss:0 B:100 DC1:1117 IO:3000/3000/0000 FP:26954/BK:0/0 Cyc:62567 TpHR:1430 ZcI:24 ZcIHR:1860 PZcI:24 Ph:2 FL:4 Frc:1 eRPM:10680 D%:111 Ia:-992 Ib:464 Ibus:320,CL,2848,14240,1114,3,17,27254,1,0,1,0,0,1117,12288,12288,0,26954,0,0,62567,,1430,24,1860,24,,4,1,10680,111,-992,464,320,-1041,487,336,,107,0,0,6336,0,1.7,0.0
1773758102993,26.621,S:CL P:2832 V:14208 D:1117 St:2 Tp:17 ZC:27361 SYN Miss:0 B:110 DC1:1114 IO:0000/3400/0000 FP:27061/BK:0/0 Cyc:3373 TpHR:1478 ZcI:21 ZcIHR:1125 PZcI:14 Ph:2 FL:4 Frc:0 eRPM:10543 D%:111 Ia:-112 Ib:-144 Ibus:752,CL,2832,14208,1117,2,17,27361,1,0,1,1,0,1114,0,13312,0,27061,0,0,3373,,1478,21,1125,14,,4,0,10543,111,-112,-144,752,-117,-151,789,,107,0,0,-59194,0,,
1773758103092,26.72,S:CL P:2832 V:14256 D:1117 St:0 Tp:17 ZC:27468 SYN Miss:0 B:110 DC1:1114 IO:0000/3000/3000 FP:27168/BK:0/0 Cyc:9714 TpHR:1482 ZcI:15 ZcIHR:1703 PZcI:22 Ph:1 FL:4 Frc:1 eRPM:10479 D%:111 Ia:368 Ib:-816 Ibus:944,CL,2832,14256,1117,0,17,27468,1,0,1,1,0,1114,0,12288,12288,27168,0,0,9714,,1482,15,1703,22,,4,1,10479,111,368,-816,944,386,-856,990,,107,0,0,6341,0,1.7,0.0
1773758103192,26.82,S:CL P:2832 V:14240 D:1117 St:5 Tp:17 ZC:27574 SYN Miss:0 B:001 DC1:1117 IO:3000/0000/3400 FP:27275/BK:0/0 Cyc:16036 TpHR:1484 ZcI:21 ZcIHR:1187 PZcI:15 Ph:1 FL:4 Frc:1 eRPM:10813 D%:111 Ia:592 Ib:-144 Ibus:1152,CL,2832,14240,1117,5,17,27574,1,0,0,0,1,1117,12288,0,13312,27275,0,0,16036,,1484,21,1187,15,,4,1,10813,111,592,-144,1152,621,-151,1208,,107,0,0,6322,0,1.7,0.0
1773758103291,26.919,S:CL P:2848 V:14240 D:1114 St:4 Tp:17 ZC:27681 SYN Miss:0 B:001 DC1:1117 IO:3400/3000/3000 FP:27381/BK:0/0 Cyc:22364 TpHR:1444 ZcI:25 ZcIHR:1406 PZcI:18 Ph:0 FL:4 Frc:0 eRPM:10790 D%:111 Ia:-960 Ib:176 Ibus:384,CL,2848,14240,1114,4,17,27681,1,0,0,0,1,1117,13312,12288,12288,27381,0,0,22364,,1444,25,1406,18,,4,0,10790,111,-960,176,384,-1007,185,403,,106,0,0,6328,0,1.7,0.0
1773758103391,27.019,S:CL P:2832 V:14240 D:1114 St:2 Tp:17 ZC:27788 SYN Miss:0 B:101 DC1:1114 IO:0000/3400/0000 FP:27487/BK:0/0 Cyc:28728 TpHR:1464 ZcI:14 ZcIHR:1781 PZcI:23 Ph:1 FL:4 Frc:1 eRPM:10395 D%:111 Ia:-848 Ib:1136 Ibus:1040,CL,2832,14240,1114,2,17,27788,1,0,1,0,1,1114,0,13312,0,27487,0,0,28728,,1464,14,1781,23,,4,1,10395,111,-848,1136,1040,-890,1192,1091,,106,0,0,6364,0,1.7,0.0
1773758103490,27.118,S:CL P:2848 V:14240 D:1114 St:0 Tp:17 ZC:27894 SYN Miss:0 B:010 DC1:1114 IO:0000/3000/3000 FP:27594/BK:0/0 Cyc:35100 TpHR:1508 ZcI:13 ZcIHR:1781 PZcI:23 Ph:1 FL:4 Frc:1 eRPM:10672 D%:111 Ia:592 Ib:-1008 Ibus:944,CL,2848,14240,1114,0,17,27894,1,0,0,1,0,1114,0,12288,12288,27594,0,0,35100,,1508,13,1781,23,,4,1,10672,111,592,-1008,944,621,-1057,990,,107,0,0,6372,0,1.7,0.0
